Chemical Formula,Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C8H24N2Bi1F4,2.863314,2.230898
C8H24N2Bi1Cl4,3.054397,3.071667
C8H24N2Bi1Br4,2.943538,2.907555
C8H24N2Bi1I4,2.295176,2.419868
C10H28N2Ge1F4,3.126522,4.049873
C10H28N2Ge1Cl4,3.122301,3.316556
C10H28N2Ge1Br4,2.966349,3.18208
C10H28N2Ge1I4,2.355993,2.570942
C10H28N2Cd1F4,2.676022,2.386305
C10H28N2Cd1Cl4,2.94656,3.179841
C10H28N2Cd1Br4,2.811114,3.105295
C10H28N2Cd1I4,2.583772,2.822479
C10H28N2Sn1F4,2.5161,2.455563
C10H28N2Sn1Cl4,2.905114,3.565941
C10H28N2Sn1Br4,2.64703,2.967846
C10H28N2Sn1I4,2.190695,2.521819
C10H28N2Pb1F4,2.938624,2.53669
C10H28N2Pb1Cl4,3.034266,3.1243
C10H28N2Pb1Br4,2.877766,2.858743
C10H28N2Pb1I4,2.360105,2.60049
C10H28N2Bi1F4,2.876917,2.3269
C10H28N2Bi1Cl4,3.06704,3.062628
C10H28N2Bi1Br4,2.939423,2.926851
C10H28N2Bi1I4,2.289676,2.409646
C10H28N2Ge1F4,3.126522,4.049873
C10H28N2Ge1Cl4,3.122301,3.316556
C10H28N2Ge1Br4,2.966349,3.18208
C10H28N2Ge1I4,2.355993,2.570942
C10H28N2Cd1F4,2.676022,2.386305
C10H28N2Cd1Cl4,2.94656,3.179841
C10H28N2Cd1Br4,2.811114,3.105295
C10H28N2Cd1I4,2.583772,2.822479
C10H28N2Sn1F4,2.5161,2.455563
C10H28N2Sn1Cl4,2.905114,3.565941
C10H28N2Sn1Br4,2.64703,2.967846
C10H28N2Sn1I4,2.190695,2.521819
C10H28N2Pb1F4,2.938624,2.53669
C10H28N2Pb1Cl4,3.034266,3.1243
C10H28N2Pb1Br4,2.877766,2.858743
C10H28N2Pb1I4,2.360105,2.60049
C10H28N2Bi1F4,2.876917,2.3269
C10H28N2Bi1Cl4,3.06704,3.062628
C10H28N2Bi1Br4,2.939423,2.926851
C10H28N2Bi1I4,2.289676,2.409646
C10H28N2Ge1F4,3.092908,3.207557
C10H28N2Ge1Cl4,3.12874,3.603608
C10H28N2Ge1Br4,2.980889,3.164371
C10H28N2Ge1I4,2.352024,2.58169
C10H28N2Cd1F4,2.656787,2.392844
C10H28N2Cd1Cl4,2.988042,3.294052
C10H28N2Cd1Br4,2.870488,3.112001
C10H28N2Cd1I4,2.642691,2.801799
C10H28N2Sn1F4,2.476045,2.337821
C10H28N2Sn1Cl4,2.89715,3.513425
C10H28N2Sn1Br4,2.665125,3.089925
C10H28N2Sn1I4,2.185037,2.648984
C10H28N2Pb1F4,2.914841,2.499479
C10H28N2Pb1Cl4,3.047375,3.137091
C10H28N2Pb1Br4,2.886963,2.881294
C10H28N2Pb1I4,2.344815,2.67648
C10H28N2Bi1F4,2.866964,2.233218
C10H28N2Bi1Cl4,3.054397,3.071058
C10H28N2Bi1Br4,2.945638,2.911862
C10H28N2Bi1I4,2.297776,2.370325
C12H32N2Ge1F4,3.126522,4.049873
C12H32N2Ge1Cl4,3.123227,3.59348
C12H32N2Ge1Br4,2.966349,3.213823
C12H32N2Ge1I4,2.354843,2.568478
C12H32N2Cd1F4,2.67923,2.367849
C12H32N2Cd1Cl4,2.965987,3.17301
C12H32N2Cd1Br4,2.827556,2.967382
C12H32N2Cd1I4,2.586928,2.821735
C12H32N2Sn1F4,2.5184,2.420729
C12H32N2Sn1Cl4,2.904925,3.563477
C12H32N2Sn1Br4,2.68468,3.001134
C12H32N2Sn1I4,2.154095,2.495177
C12H32N2Pb1F4,2.935524,2.53669
C12H32N2Pb1Cl4,3.034541,3.376691
C12H32N2Pb1Br4,2.886541,2.845396
C12H32N2Pb1I4,2.348668,2.571114
C12H32N2Bi1F4,2.876917,2.3269
C12H32N2Bi1Cl4,3.06704,3.062628
C12H32N2Bi1Br4,2.939773,2.852971
C12H32N2Bi1I4,2.289676,2.413954
C12H32N2Ge1F4,3.082159,3.204915
C12H32N2Ge1Cl4,3.123732,3.55011
C12H32N2Ge1Br4,2.965272,3.180193
C12H32N2Ge1I4,2.331545,2.552945
C12H32N2Cd1F4,2.626287,2.389015
C12H32N2Cd1Cl4,3.007525,3.260553
C12H32N2Cd1Br4,2.867784,3.120002
C12H32N2Cd1I4,2.624891,2.779218
C12H32N2Sn1F4,2.466977,2.331081
C12H32N2Sn1Cl4,2.89975,3.516206
C12H32N2Sn1Br4,2.685475,3.201188
C12H32N2Sn1I4,2.162937,2.626144
C12H32N2Pb1F4,2.910841,2.487108
C12H32N2Pb1Cl4,3.051956,3.354228
C12H32N2Pb1Br4,2.895014,3.039034
C12H32N2Pb1I4,2.300387,2.715406
C12H32N2Bi1F4,2.866964,2.235778
C12H32N2Bi1Cl4,3.054397,3.071058
C12H32N2Bi1Br4,2.945638,2.904942
C12H32N2Bi1I4,2.297744,2.326613
C14H36N2Ge1F4,3.126422,4.050518
C14H36N2Ge1Cl4,3.123227,3.594117
C14H36N2Ge1Br4,2.971799,3.267937
C14H36N2Ge1I4,2.336843,2.569115
C14H36N2Cd1F4,2.677226,2.434889
C14H36N2Cd1Cl4,2.974911,3.30655
C14H36N2Cd1Br4,2.829587,3.151065
C14H36N2Cd1I4,2.590658,2.815064
C14H36N2Sn1F4,2.514801,2.373457
C14H36N2Sn1Cl4,2.899582,3.551953
C14H36N2Sn1Br4,2.690194,3.009407
C14H36N2Sn1I4,2.157832,2.505861
C14H36N2Pb1F4,2.936224,2.536698
C14H36N2Pb1Cl4,3.034867,3.376691
C14H36N2Pb1Br4,2.871541,2.901438
C14H36N2Pb1I4,2.313305,2.586866
C14H36N2Bi1F4,2.878317,2.329219
C14H36N2Bi1Cl4,3.06704,3.066221
C14H36N2Bi1Br4,2.939673,2.859301
C14H36N2Bi1I4,2.289676,2.417256
C14H36N2Ge1F4,3.076494,3.29037
C14H36N2Ge1Cl4,3.133706,3.541614
C14H36N2Ge1Br4,2.962826,3.201553
C14H36N2Ge1I4,2.346849,2.604389
C14H36N2Cd1F4,2.625287,2.377305
C14H36N2Cd1Cl4,3.037243,3.565292
C14H36N2Cd1Br4,2.858271,3.098352
C14H36N2Cd1I4,2.624991,2.752188
C14H36N2Sn1F4,2.493075,2.330196
C14H36N2Sn1Cl4,2.912318,3.455624
C14H36N2Sn1Br4,2.69384,3.224579
C14H36N2Sn1I4,2.173541,2.657333
C14H36N2Pb1F4,2.901918,2.486616
C14H36N2Pb1Cl4,3.057735,3.353714
C14H36N2Pb1Br4,2.891364,3.052384
C14H36N2Pb1I4,2.310001,2.686661
C14H36N2Bi1F4,2.866964,2.235778
C14H36N2Bi1Cl4,3.049397,3.071058
C14H36N2Bi1Br4,2.946688,2.867939
C14H36N2Bi1I4,2.294472,2.326613
C14H36N2Ge1F4,3.076494,3.29037
C14H36N2Ge1Cl4,3.133706,3.541614
C14H36N2Ge1Br4,2.962826,3.201553
C14H36N2Ge1I4,2.346849,2.604389
C14H36N2Cd1F4,2.625287,2.377305
C14H36N2Cd1Cl4,3.037243,3.565292
C14H36N2Cd1Br4,2.858271,3.098352
C14H36N2Cd1I4,2.624991,2.752188
C14H36N2Sn1F4,2.493075,2.330196
C14H36N2Sn1Cl4,2.912318,3.455624
C14H36N2Sn1Br4,2.69384,3.224579
C14H36N2Sn1I4,2.173541,2.657333
C14H36N2Pb1F4,2.901918,2.486616
C14H36N2Pb1Cl4,3.057735,3.353714
C14H36N2Pb1Br4,2.891364,3.052384
C14H36N2Pb1I4,2.310001,2.686661
C14H36N2Bi1F4,2.866964,2.235778
C14H36N2Bi1Cl4,3.049397,3.071058
C14H36N2Bi1Br4,2.946688,2.867939
C14H36N2Bi1I4,2.294472,2.326613
C16H40N2Ge1F4,3.118073,4.041914
C16H40N2Ge1Cl4,3.11832,3.569165
C16H40N2Ge1Br4,2.974832,3.263383
C16H40N2Ge1I4,2.352057,2.570657
C16H40N2Cd1F4,2.673126,2.410014
C16H40N2Cd1Cl4,3.005044,3.290793
C16H40N2Cd1Br4,2.82065,3.146734
C16H40N2Cd1I4,2.579117,2.79216
C16H40N2Sn1F4,2.514282,2.375409
C16H40N2Sn1Cl4,2.899582,3.562898
C16H40N2Sn1Br4,2.690194,3.004853
C16H40N2Sn1I4,2.155537,2.49667
C16H40N2Pb1F4,2.932574,2.543517
C16H40N2Pb1Cl4,3.042172,3.377328
C16H40N2Pb1Br4,2.876091,2.882925
