Chemical Formula, Original Eg (eV),Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C14H48N2Pb1I4,2.4,2.52,2.51907
C14H18N2Pb1I4,2.35,2.4,2.4003
C10H10N2Pb1I4,2.17,2.34,2.33966
C7H11N1O1S1Pb1I3,2.21,2.7,2.69963
C9H13N2O1Pb1I3,2.27,2.55,2.54883
C10H18N1O2S2Pb1I3,2.28,1.9,1.90161
C3H5N2Pb1I3,2.09,2.71,2.70994
C8H24N4Pb1I6,2.19,2.5,2.4998
C24H50N2Pb1Br4,2.52,2.56,2.55734
C32N4O6Sn1I4,1.82,2.38,2.37807
C8N2Sn1I6,1.65,2.29,2.29198
C8N2O4Sn1I4,1.66,2.7,2.69889
C9N2Sn1I4,1.87,2.43,2.43174
C10N2Sn1I6,1.92,2.16,2.15784
C5N2Sn1I4,1.85,2.04,2.04281
C28N6Sn1I6,1.77,2.53,2.52284
C30N6Sn1Cl4I6,2,2.84,2.84038
C14H10N4Sn1F4I4,2.03,1.86,1.86297
C12N1Sn1I3,1.87,1.96,1.95255
C24N2Sn1I4,2.03,2.47,2.47575
C7H25N11Sn2I8,2.09,2.47,2.47459
C20H20N1S4Sn1I3,1.89,2.57,2.56187
C16H24N2Sn1I6,1.88,2.5,2.50239
C7N2Sn1I4,1.85,3.59,3.58747
C6H8N4Pb1I4,2.11,2.1,2.10122
C6H6N4Sn1I4,2.09,2.3,2.29998
C8H24N2Sn1I4,1.92,3.09,3.09947
C24N4Sn1F10I6,1.89,2,2.00401
C18H32N4Sn1F2I6,2.01,2.29,2.28493
C18H32N4Sn1F2I6,1.97,2.25,2.25592
C16H22N2Sn1F2I4,1.93,2.3,2.29655
C10N4Sn3I10,1.78,2.32,2.3186
C2N3Sn1I6,2.03,2.11,2.10863
C1H6N3Sn1I3,2.1,4.4,4.39925
C24N3Sn2I7,2.1,3.29,3.29147
C9H48N3Sn2I7,1.65,1.96,1.9593
C16H24N2Ge1I4,2.12,2.34,2.34174
C8N2Sn1I4,1.78,2.34,2.33888
C4H16N2O2Sn1I4,2.07,2.36,2.36075
C4H16N2O2Sn1I4,2.07,3.05,3.03883
C4H16N2O2Pb1I4,2.1,2.73,2.73781
C4H16N2O2Pb1Br4,2.74,2.81,2.7997
C1Cs1H6N3Sn1Br6,2.66,2.66,2.66401
C1Cs2H6N3Sn2Br9,2.16,2.73,2.72764
Cs4Sn3Br8I2,2.23,2.73,2.72201
C20H47N7Sn3I12,1.99,2.34,2.33865
Cs2Sn1Cl2I2,2.62,2.28,2.27057
Cs3Rb1Sn3Cl8I2,2.81,2.38,2.36695
Rb9Sn3Cl7I8,2.37,2.23,2.23033
C1H6N1Cd1I3,4.13,2.02,2.02087
C16H24N2Cd1Cl4,3.24,1.98,1.98332
C8H8N4Sn1I4,1.79,1.79,1.79278
C8H8N4Pb1I4,2.04,2.08,2.08032
C10H36N4Sn3Br10,2.22,2.08,2.08295
C12H72N4Sn3Br10,2.51,1.58,1.58538
C40H144N16Sn3Br10,2.5,1.8,1.80109
C10H36N4Pb3Br10,2.4,2.14,2.13421
C12H72N6Pb3Br10,2.34,2.05,2.0568
C22H10N4Sn1F10I6,2.03,2.32,2.31514
C22H14N4Sn1F6I6,2,2.1,2.10562
C38N6S6Bi1I6,2.16,2.16,2.15512
C20N4S4Bi1I6,2.14,2.02,2.02401
C14H20N2Sn1Cl6,3.04,2.11,2.11768
C14H20N2Sn1Br4,2.41,1.88,1.88313
C14H20N2Sn1I4,2.03,1.73,1.73654
C28H74N6Pb3I10,2.13,1.66,1.66235
C56H128N8Pb3I10,2.48,2.17,2.16831
C14H32N2Sn1I4,2.18,1.94,1.94546
C24H64N4Sn1I4,2.05,1.77,1.7677
C37H78N9Pb6I20,2.06,2.38,2.37172
C5H11N3Pb1I4,2.05,2.13,2.1328
C14H20N2Pb1I4,2.18,2.09,2.0936
C24H50N2Cd1Br4,3.24,1.97,1.96681
C4H14N2Pb1I6,2.37,3.37,3.36941
C6H22N2Pb1Br2I4,2.12,2.15,2.15252
C4H14N2Pb1Br2I4,2.14,3.4,3.40137
C6H22N2S4Pb1I4,2.19,3.37,3.3679
C4H14N2S2Pb1I4,2.31,3.4,3.39851
C4H14N2S2Sn1I4,2,3.49,3.47944
C6H10N2Pb1I4,2.14,3.78,3.77306
C6H10N2Pb1I4,2.02,1.85,1.84557
C12H20N4Pb1Br4,2.62,1.76,1.75866
C6H10N2Pb1Br4,2.79,2.1,2.09878
